Item,Commit?,Stage,One-liner,P?,Team,Problem doc,1-pager,Project doc link,Complexity,Technical Scope,Driver,Strategic alignment,Type,Use cases,Source,Deal Blocker
"Services, pricing and billing",No,GA,Apply usage-based billing to Services based on the Services pricing model.,P2,Billing,Not started,Not started,low priority,,,Kabir Sikand,Tailscale as a Platform,Build new stuff,Cross-site communication,Product,
Device posture error messages on the client,,Alpha,Alert users when they are failing device posture checks that prevent them from gaining access to a tailnet resource.,P2,Clients,Not started,Not started,low priority,,,Megan Walsh,Core VPN,Build new stuff,Business VPN,Product,
Additional native device posture attributes,,,Add additional native device posture attributes to expand the usefulness of device posture when an MDM integration is not present.,P3,Clients,Not started,Not started,low priority,,,Megan Walsh,Core VPN,Build new stuff,Business VPN,Product,
Windowed client for Windows,,Beta,Release an upgraded Windows client GUI to testers on an opt-in basis,P1,Clients,N/A,N/A,n/a,,,Megan Walsh,Core VPN,Improve existing stuff,Business VPN,Product,
Windowed client for macOS,,GA,Release an upgraded macOS client GUI to all users,P2,Clients,N/A,N/A,n/a,,,Megan Walsh,Core VPN,Improve existing stuff,Business VPN,Product,
Feature parity work for Windows client,,N/A,Make progress on feature parity between the Windows and macOS clients,P2,Clients,N/A,N/A,n/a,,,Megan Walsh,Core VPN,Improve existing stuff,Business VPN,Product,
Taildrop to other users and tagged devices,,,Safely support file transfers between users and tagged devices with a consent flow and grant-based controls,P2,Clients,Not started,Not started,low priority,,,Megan Walsh,Personal user virality,Improve existing stuff,Business VPN,Product,
Control plane resilience on hostile networks (ACE),Yes,,"Prevent public wifi networks from blocking an end-user's access to Tailscale, particularly useful for remote or traveling workforces",P0,Data plane,Not started,Not started,coming soon,,,Kabir Sikand,Core VPN,Build new stuff,Business VPN,Product,
Peer relay,Yes,GA,Let customers run their own configurable Relay servers to get around managed NAT gateways or firewalls without falling back to DERP.,P0,Data plane,Done,Done,need link,,,Kabir Sikand,Core VPN,Build new stuff,Infra access,Product,
DerpOps (ongoing),Yes,N/A,Continued maintenance and KTLO for DERP fleet,P0,Data plane,N/A,N/A,n/a,,,Andrew Mitchell,Scale and reliability,"Security, KTLO, tech debt",N/A,Engineering,
Traffic steering,,Beta,"Iterate on Regional Routing to provide a more reliable and accurate steering algorithm for selection of overlapping subnet routes, app connectors, exit nodes, and Services.",P1,Data plane,Done,Not started,need link,,,Kabir Sikand,Core VPN,Improve existing stuff,Business VPN,Product,
Option to not drop CGNAT,,,,,,,,,,,,,,,,
Tailnet creation API improvements,Yes,Beta,"Allow deleting tailnets, updating display name, and regenerating the root OAuth client in case of data loss.",P1,DevEx,Not started,Not started,coming soon,,,Sam Linville,Tailscale as a Platform,Improve existing stuff,OEM / Powered by,Product,
Tailnet performance monitoring (tailperf),,,Provide tooling to let tailnet admins monitor and diagnose performance issues in their tailnet,P1,Data plane,Not started,Not started,coming soon,,,Kabir Sikand,Core VPN,Build new stuff,Business VPN,Product,
Database access and query logging,Yes,Alpha,"Provide layer-7 access controls to databases (managed and 'on-prem'), along with logging of queries",P1,DevEx,Not started,Not started,coming soon,,,Samuel Jinadu,Core VPN,Build new stuff,Infra access,Product,
